Item Identifier,Item Type,Item Fat Content,Item Weight,Item Visibility,Outlet Identifier,Outlet Establishment Year,Outlet Size,Outlet Location Type,Outlet Type,Sales,Rating
FDX32,Fruits and Vegetables,Regular,15.1,0.100014,OUT049,2012,Medium,Tier 1,Supermarket Type1,145.48,5.0
NCB42,Health and Hygiene,Low Fat,11.8,0.008596,OUT018,2022,Medium,Tier 3,Supermarket Type2,115.35,5.0
FDR28,Frozen Foods,Regular,13.85,0.025896,OUT046,2016,Small,Tier 1,Supermarket Type1,165.02,5.0
FDL50,Canned,Regular,12.15,0.042278,OUT013,2014,High,Tier 3,Supermarket Type1,126.5,5.0
DRI25,Soft Drinks,Low Fat,19.6,0.03397,OUT045,2015,Small,Tier 2,Supermarket Type1,55.16,5.0
FDS52,Frozen Foods,Low Fat,8.89,0.005505,OUT017,2020,Small,Tier 2,Supermarket Type1,102.4,5.0
NCU05,Health and Hygiene,Low Fat,11.8,0.098312,OUT010,2011,Small,Tier 3,Grocery Store,81.46,5.0
NCD30,Household,Low Fat,19.7,0.026904,OUT045,2015,Small,Tier 2,Supermarket Type1,96.07,5.0
FDW20,Fruits and Vegetables,Low Fat,20.75,0.024129,OUT013,2014,High,Tier 3,Supermarket Type1,124.17,5.0
FDX25,Canned,Low Fat,12.15,0.101562,OUT027,2018,Medium,Tier 3,Supermarket Type3,181.93,5.0
FDX21,Snack Foods,Low Fat,13.15,0.084555,OUT027,2018,Medium,Tier 3,Supermarket Type3,109.89,5.0
NCU41,Health and Hygiene,Low Fat,18.85,0.052045,OUT035,2017,Small,Tier 2,Supermarket Type1,192.18,5.0
FDL20,Fruits and Vegetables,Low Fat,17.1,0.128938,OUT018,2022,Medium,Tier 3,Supermarket Type2,112.39,5.0
NCR54,Household,Low Fat,16.35,0.090487,OUT013,2014,High,Tier 3,Supermarket Type1,195.21,5.0
FDH19,Meat,Low Fat,12.35,0.032928,OUT027,2018,Medium,Tier 3,Supermarket Type3,173.17,5.0
FDB57,Fruits and Vegetables,Regular,20.25,0.018802,OUT035,2017,Small,Tier 2,Supermarket Type1,222.18,5.0
FDO23,Breads,Low Fat,17.85,0.147024,OUT018,2022,Medium,Tier 3,Supermarket Type2,93.74,5.0
NCB07,Household,Low Fat,19.2,0.077628,OUT049,2012,Medium,Tier 1,Supermarket Type1,197.61,5.0
FDJ56,Fruits and Vegetables,Low Fat,13.1,0.182515,OUT027,2018,Medium,Tier 3,Supermarket Type3,98.77,5.0
DRN47,Hard Drinks,Low Fat,12.1,0.016895,OUT018,2022,Medium,Tier 3,Supermarket Type2,178.57,5.0
FDZ07,Fruits and Vegetables,Regular,13.1,0.0,OUT027,2018,Medium,Tier 3,Supermarket Type3,60.22,5.0
NCK31,Others,Low Fat,14.5,0.026917,OUT027,2018,Medium,Tier 3,Supermarket Type3,50.97,5.0
FDJ41,Frozen Foods,Low Fat,6.85,0.022976,OUT018,2022,Medium,Tier 3,Supermarket Type2,261.66,5.0
DRI51,Dairy,Low Fat,17.25,0.042414,OUT018,2022,Medium,Tier 3,Supermarket Type2,173.18,5.0
FDC40,Dairy,Regular,16.0,0.065432,OUT017,2020,Medium,Tier 2,Supermarket Type1,76.2,5.0
FDB53,Frozen Foods,Low Fat,13.35,0.140241,OUT017,2020,Medium,Tier 2,Supermarket Type1,150.24,5.0
FDA16,Frozen Foods,Low Fat,6.7,0.033936,OUT035,2017,Small,Tier 2,Supermarket Type1,221.95,5.0
FDO19,Fruits and Vegetables,Regular,13.1,0.016516,OUT027,2018,Medium,Tier 3,Supermarket Type3,47.4,5.0
FDO04,Frozen Foods,Low Fat,16.6,0.026537,OUT046,2016,Small,Tier 1,Supermarket Type1,57.26,5.0
FDL25,Breakfast,Regular,6.92,0.131128,OUT049,2012,Medium,Tier 1,Supermarket Type1,93.18,5.0
NCJ30,Household,Low Fat,5.82,0.08064,OUT046,2016,Small,Tier 1,Supermarket Type1,167.78,5.0
NCQ41,Health and Hygiene,Low Fat,14.8,0.019464,OUT013,2014,High,Tier 3,Supermarket Type1,196.38,5.0
DRJ35,Hard Drinks,Low Fat,10.1,0.046546,OUT013,2014,High,Tier 3,Supermarket Type1,59.99,5.0
NCE31,Household,Low Fat,7.67,0.18469,OUT013,2014,High,Tier 3,Supermarket Type1,35.42,5.0
FDY09,Snack Foods,Low Fat,15.6,0.025343,OUT017,2020,Medium,Tier 2,Supermarket Type1,174.31,5.0
FDZ04,Frozen Foods,Low Fat,9.31,0.037924,OUT013,2014,High,Tier 3,Supermarket Type1,61.65,5.0
FDY07,Fruits and Vegetables,Low Fat,11.8,0.121848,OUT045,2015,Medium,Tier 2,Supermarket Type1,46.84,5.0
FDO45,Snack Foods,Regular,13.15,0.03803,OUT045,2015,Medium,Tier 2,Supermarket Type1,88.69,5.0
FDB09,Fruits and Vegetables,Low Fat,16.25,0.057485,OUT049,2012,Medium,Tier 1,Supermarket Type1,126.2,5.0
FDP51,Meat,Regular,13.85,0.085275,OUT046,2016,Small,Tier 1,Supermarket Type1,119.61,5.0
FDT50,Dairy,Regular,6.75,0.108149,OUT013,2014,High,Tier 3,Supermarket Type1,95.68,5.0
FDQ08,Fruits and Vegetables,Regular,13.1,0.018839,OUT027,2018,Medium,Tier 3,Supermarket Type3,62.95,5.0
DRL11,Hard Drinks,Low Fat,10.5,0.048116,OUT045,2015,Medium,Tier 2,Supermarket Type1,159.09,5.0
FDT34,Snack Foods,Low Fat,9.3,0.174621,OUT049,2012,Medium,Tier 1,Supermarket Type1,104.3,5.0
FDP01,Breakfast,Regular,20.75,0.105995,OUT010,2011,Medium,Tier 3,Grocery Store,150.57,5.0
NCJ31,Others,Low Fat,19.2,0.182502,OUT013,2014,High,Tier 3,Supermarket Type1,239.22,5.0
NCL30,Household,Low Fat,18.1,0.048931,OUT035,2017,Small,Tier 2,Supermarket Type1,127.33,5.0
FDF04,Frozen Foods,Low Fat,17.5,0.013658,OUT049,2012,Medium,Tier 1,Supermarket Type1,256.33,5.0
NCZ42,Household,Low Fat,10.5,0.011305,OUT049,2012,Medium,Tier 1,Supermarket Type1,235.52,5.0
FDG24,Baking Goods,Low Fat,7.98,0.014654,OUT049,2012,Medium,Tier 1,Supermarket Type1,82.42,5.0
FDV49,Canned,Low Fat,10.0,0.025867,OUT049,2012,Medium,Tier 1,Supermarket Type1,264.62,5.0
FDX01,Canned,Low Fat,10.1,0.024202,OUT049,2012,Medium,Tier 1,Supermarket Type1,114.92,5.0
DRF27,Dairy,Low Fat,8.93,0.028461,OUT049,2012,Medium,Tier 1,Supermarket Type1,152.23,5.0
FDF16,Frozen Foods,Low Fat,7.3,0.086266,OUT049,2012,Medium,Tier 1,Supermarket Type1,147.21,5.0
FDU04,Frozen Foods,Low Fat,7.93,0.005557,OUT049,2012,Medium,Tier 1,Supermarket Type1,122.14,5.0
FDP04,Frozen Foods,Low Fat,15.35,0.013834,OUT049,2012,Medium,Tier 1,Supermarket Type1,62.72,5.0
FDD05,Frozen Foods,Low Fat,19.35,0.016637,OUT049,2012,Medium,Tier 1,Supermarket Type1,120.91,5.0
FDV07,Fruits and Vegetables,Low Fat,9.5,0.031332,OUT049,2012,Medium,Tier 1,Supermarket Type1,111.12,5.0
FDT20,Fruits and Vegetables,Low Fat,10.5,0.04146,OUT049,2012,Medium,Tier 1,Supermarket Type1,39.22,5.0
FDC44,Fruits and Vegetables,Low Fat,15.6,0.0,OUT049,2012,Medium,Tier 1,Supermarket Type1,111.95,5.0
DRM59,Hard Drinks,Low Fat,5.88,0.003598,OUT049,2012,Medium,Tier 1,Supermarket Type1,153.9,5.0
DRG23,Hard Drinks,Low Fat,8.88,0.086916,OUT049,2012,Medium,Tier 1,Supermarket Type1,153.37,5.0
NCJ29,Health and Hygiene,Low Fat,10.6,0.035248,OUT049,2012,Medium,Tier 1,Supermarket Type1,84.72,5.0
NCM42,Household,Low Fat,6.13,0.028366,OUT049,2012,Medium,Tier 1,Supermarket Type1,110.09,5.0
NCY42,Household,Low Fat,6.38,0.015186,OUT049,2012,Medium,Tier 1,Supermarket Type1,144.95,5.0
NCX54,Household,Low Fat,9.2,0.048135,OUT049,2012,Medium,Tier 1,Supermarket Type1,107.76,5.0
NCI06,Household,Low Fat,11.3,0.047792,OUT049,2012,Medium,Tier 1,Supermarket Type1,180.77,5.0
NCQ02,Household,Low Fat,12.6,0.007468,OUT049,2012,Medium,Tier 1,Supermarket Type1,186.96,5.0
NCR38,Household,Low Fat,17.25,0.113695,OUT049,2012,Medium,Tier 1,Supermarket Type1,253.47,5.0
NCM30,Household,Low Fat,19.1,0.0674,OUT049,2012,Medium,Tier 1,Supermarket Type1,41.98,5.0
FDK43,Meat,Low Fat,9.8,0.026882,OUT049,2012,Medium,Tier 1,Supermarket Type1,126.3,5.0
FDK21,Snack Foods,Low Fat,7.9,0.010028,OUT049,2012,Medium,Tier 1,Supermarket Type1,249.64,5.0
FDR45,Snack Foods,Low Fat,10.8,0.028988,OUT049,2012,Medium,Tier 1,Supermarket Type1,239.22,5.0
FDV09,Snack Foods,Low Fat,12.1,0.020601,OUT049,2012,Medium,Tier 1,Supermarket Type1,147.57,5.0
FDU12,Baking Goods,Regular,15.5,0.075869,OUT049,2012,Medium,Tier 1,Supermarket Type1,261.76,5.0
FDZ47,Baking Goods,Regular,20.7,0.07942,OUT049,2012,Medium,Tier 1,Supermarket Type1,99.8,5.0
FDO11,Breads,Regular,8.0,0.030312,OUT049,2012,Medium,Tier 1,Supermarket Type1,247.41,5.0
FDU49,Canned,Regular,19.5,0.030742,OUT049,2012,Medium,Tier 1,Supermarket Type1,85.55,5.0
FDA02,Dairy,Regular,14.0,0.029769,OUT049,2012,Medium,Tier 1,Supermarket Type1,145.48,5.0
FDV26,Dairy,Regular,20.25,0.0,OUT049,2012,Medium,Tier 1,Supermarket Type1,194.28,5.0
FDA04,Frozen Foods,Regular,11.3,0.066834,OUT049,2012,Medium,Tier 1,Supermarket Type1,257.3,5.0
FDO52,Frozen Foods,Regular,11.6,0.077285,OUT049,2012,Medium,Tier 1,Supermarket Type1,172.41,5.0
FDA40,Frozen Foods,Regular,16.0,0.099426,OUT049,2012,Medium,Tier 1,Supermarket Type1,87.09,5.0
FDS27,Meat,Regular,10.2,0.012478,OUT049,2012,Medium,Tier 1,Supermarket Type1,197.11,5.0
FDU15,Meat,Regular,13.65,0.026643,OUT049,2012,Medium,Tier 1,Supermarket Type1,37.95,5.0
FDV33,Snack Foods,Regular,9.6,0.027386,OUT049,2012,Medium,Tier 1,Supermarket Type1,259.23,5.0
FDV34,Snack Foods,Regular,10.7,0.011443,OUT049,2012,Medium,Tier 1,Supermarket Type1,73.5,5.0
FDX46,Snack Foods,Regular,12.3,0.058207,OUT049,2012,Medium,Tier 1,Supermarket Type1,59.16,5.0
NCA53,Health and Hygiene,Low Fat,11.4,0.009894,OUT049,2012,Medium,Tier 1,Supermarket Type1,50.3,5.0
FDT24,Baking Goods,Regular,12.35,0.186148,OUT049,2012,Medium,Tier 1,Supermarket Type1,78.23,5.0
FDX27,Dairy,Regular,20.7,0.114295,OUT049,2012,Medium,Tier 1,Supermarket Type1,94.94,5.0
NCQ38,Others,Low Fat,14.5,0.023403,OUT019,2018,Small,Tier 1,Grocery Store,108.23,5.0
FDK02,Canned,Low Fat,12.15,0.196491,OUT019,2018,Small,Tier 1,Grocery Store,120.54,5.0
FDI15,Dairy,Low Fat,13.35,0.24749,OUT019,2018,Small,Tier 1,Grocery Store,263.19,5.0
FDE09,Fruits and Vegetables,Low Fat,13.1,0.037825,OUT019,2018,Small,Tier 1,Grocery Store,109.72,5.0
FDS55,Fruits and Vegetables,Low Fat,13.1,0.142108,OUT019,2018,Small,Tier 1,Grocery Store,150.37,5.0
FDZ56,Fruits and Vegetables,Low Fat,13.1,0.045062,OUT019,2018,Small,Tier 1,Grocery Store,167.55,5.0
NCA05,Health and Hygiene,Low Fat,12.15,0.044,OUT019,2018,Small,Tier 1,Grocery Store,148.27,5.0
NCK29,Health and Hygiene,Low Fat,12.15,0.0,OUT019,2018,Small,Tier 1,Grocery Store,123.47,5.0
NCU29,Health and Hygiene,Low Fat,12.15,0.044608,OUT019,2018,Small,Tier 1,Grocery Store,145.98,5.0
NCX41,Health and Hygiene,Low Fat,12.15,0.031024,OUT019,2018,Small,Tier 1,Grocery Store,210.52,5.0
NCG07,Household,Low Fat,13.15,0.091924,OUT019,2018,Small,Tier 1,Grocery Store,189.75,5.0
NCI30,Household,Low Fat,13.15,0.103188,OUT019,2018,Small,Tier 1,Grocery Store,244.35,5.0
